WH;0.0;3481.0;1529.4;1950.3;1695.4;2737.0;3468.2;2986.8;3840.1;230.8;1318.6;1944.8;1892.0;3634.6;4284.8;662.5;4645.1;3942.7;2959.3;4516.1;995.9;1233.6;2727.2;4440.6;2952.7;972.3;4908.8;2795.3;1255.8;1910.2;3098.1;4366.3;2129.1;900.2;3783.9;2385.9;4669.4;111.7;2949.2;2284.7;3453.8;2357.7;741.4;3213.6;1770.8;1923.2;2068.5;3912.0;3260.5;2373.8;1231.7
S01;3426.3;0.0;2483.9;3375.8;1773.6;2126.8;2823.6;825.9;580.4;3613.6;3648.6;4906.7;2020.7;2263.7;1462.9;3526.6;2155.1;626.6;3571.5;1082.1;2551.0;4284.7;868.4;3219.8;1445.4;4277.5;1907.6;2961.3;2800.8;2792.7;1375.7;940.6;4240.6;3995.7;1635.2;1620.8;2763.7;3579.9;496.5;3404.4;827.8;1904.1;2793.4;2059.0;2307.5;4597.4;1884.7;999.6;2566.1;1066.9;2899.1
S02;1535.6;2492.7;0.0;1116.6;818.3;1305.0;1930.7;2451.2;2626.5;1398.3;1161.8;2452.2;1974.6;2150.9;3018.6;1929.4;3231.6;3060.5;1762.4;3359.7;626.5;1768.0;1638.2;2983.7;2708.5;2150.4;3506.3;1388.1;1811.9;581.9;1676.5;3519.4;1752.3;2353.1;2389.3;2167.1;3255.4;1612.2;1979.3;1247.6;2937.8;927.6;1075.5;1713.6;2017.9;2166.5;679.9;2663.0;1769.8;1618.6;522.8
S03;1889.9;3531.1;1133.3;0.0;1962.0;1666.7;1879.0;3502.5;3456.0;1692.3;672.2;1662.5;3080.9;2524.4;3508.6;2582.6;3619.3;4068.3;1017.7;4214.0;1550.3;1396.6;2610.2;2911.8;3755.1;1942.1;4185.2;1229.5;2790.0;698.2;2326.6;4518.6;680.5;2894.2;2965.4;3306.4;3403.3;1874.0;2881.9;348.4;3897.6;1544.2;1907.8;2026.8;3022.3;1371.4;1634.4;3403.7;1809.0;2793.7;855.8
S04;1756.0;1802.6;822.5;1900.9;0.0;1498.7;2271.7;1664.2;2103.1;1786.1;1859.9;3095.9;1221.6;2217.9;2623.7;2007.9;2982.6;2307.0;2557.9;2718.4;824.5;2522.6;1040.9;3169.6;1908.0;2613.4;3118.7;1968.3;1454.3;1367.7;1505.1;2705.6;2593.8;2469.6;2292.4;1294.4;3170.0;1844.7;1310.3;2037.6;2131.0;1040.3;1018.3;1810.6;1382.4;2849.0;601.5;2240.5;2108.0;830.3;1236.2
S05;2748.9;2154.7;1254.6;1628.7;1476.8;0.0;866.6;2473.4;2005.2;2693.0;2108.0;3240.2;2737.7;905.5;1901.4;3166.8;1949.2;2846.2;1509.9;2701.6;1890.3;2911.0;1316.4;1684.8;3105.6;3297.6;2587.6;720.9;2943.0;1077.7;822.0;3029.6;2263.9;3547.0;1309.3;2689.5;1962.3;2802.7;1699.0;1484.3;2922.3;435.6;2238.5;470.7;2882.6;3080.9;917.8;1956.7;610.9;1916.9;1656.9
S06;3420.9;2829.6;1979.3;1855.5;2367.2;866.0;0.0;3340.2;2574.9;3169.7;2518.9;3495.7;3531.5;882.7;2287.1;3905.4;2053.5;3599.8;1175.7;3197.6;2602.4;3311.2;2109.5;1078.7;3964.1;3854.7;2723.0;611.3;3815.3;1470.7;1450.0;3653.0;2292.0;4369.3;1555.3;3604.8;1697.9;3501.6;2412.6;1507.4;3545.4;1280.2;2980.1;835.2;3695.7;3103.4;1781.9;2444.1;307.7;2707.8;2186.1
S07;3027.8;792.3;2369.7;3538.7;1597.6;2487.8;3437.5;0.0;1392.2;3122.2;3578.8;4668.5;1351.6;2823.1;2300.3;3048.8;2984.2;795.4;4008.2;1780.1;2319.3;3959.7;1182.1;3914.1;644.6;3991.3;2749.2;3167.4;2150.9;2887.7;1987.5;1355.5;4134.3;3471.3;2325.3;857.9;3488.1;3263.6;949.3;3644.9;460.7;2251.1;2415.3;2611.9;1668.9;4488.0;1922.3;1863.1;3004.7;842.6;2895.8
S08;3729.0;599.9;2544.1;3480.2;1996.4;2030.4;2599.1;1418.9;0.0;3744.6;3813.2;5063.8;2531.1;1887.2;907.9;3914.1;1635.8;1070.4;3470.3;795.4;2797.4;4429.0;1010.9;2618.6;2043.6;4494.9;1343.9;2702.9;3168.8;2829.4;1172.0;1063.9;4039.8;4399.1;1184.5;2180.6;2134.0;3862.3;753.9;3383.9;1354.0;1917.1;3008.7;1738.1;2862.9;4666.5;1935.0;452.3;2330.2;1523.6;3164.0
S09;226.3;3538.1;1437.5;1741.4;1763.9;2665.2;3272.4;3162.7;3849.9;0.0;1097.2;1757.9;2107.4;3605.4;4241.6;900.9;4548.8;3996.6;2768.1;4512.5;965.0;1012.8;2784.2;4386.8;3193.5;877.6;4944.0;2686.8;1430.0;1748.2;3001.9;4384.5;1915.6;1102.8;3925.7;2476.8;4660.9;204.0;3094.4;2108.4;3719.3;2304.9;806.5;3202.7;1911.6;1707.1;1948.0;4103.3;3101.8;2446.4;1041.9
